text,department
"On the footpath next to Malleswaram railway station towards Devaiah park, hawkers occupy full length with no space for pedestrians to walk on footpath. heavy vehicles flow causes grave danger to walk on road. Request BBMP or BTP to clear them",Roads
"Hi,

The entire Haralur road stretch from Sarjapur road junction till Central Jail Junction is full of potholes due to which the there will be huge pile up of traffic during peak hrs. The stretch from Sarjapur road junction and Kudlu junction is the worst hit. The road was dug for Kaveri pipeline and never made an effort to put Tar. This resulted in traffic even during the normal hours as vehicles cannot move with the normal speed in potholes. Please look into this matter and help to resolve asap.",Roads
"It is estimated that as many as 10 million people in the four flood-stricken countries of the region, namely Botswana, Mozambique, South Africa and Zimbabwe, face the risk of transmissible diseases.",Water
Kaveri water supply,Water
teacher absent regularly,Education
no blackboard in classroom,Education
"salut,in the of the god who have all the power in the haven like in the heart.We require help in bayled's region.It's like we always never have chance to find the american's help. ",Housing
"I stay in yellama temple road new thippasandra and have observed that the garbage collection hasn't happened since 5th February. We have no prior intimation of their timing and frequency of coming so we miss them. By chance on Saturday i hears a small whistle and it was two ladies who kn the early morning were pushing a smaller trolley so some of us including me handed trash to them. But the regular auto hasn't come by for a week. We are working professionals and cnt stay all day at home waiting uncertainly for them. I have had to tie my trash and leave it on thd compound only to find it is still there in the evening, untouched. This, after paying them to come! Please i request you to look into this and do something about it rather than let garbage pile up in residential zones.",Sanitation
"What can you do for us at Delma 75. We can't find anything. No one comes to see us. We are sleeping in the open. We have nothing to eat, no water, no tent. ",Water
Frequent electricity cuts in evening,Electricity
"Today strong aftershocks have hit the southern part of Chile, about two hours away from Santiago!",Transport
"Discrimination against minorities, religious and ethnic hatred, state repression, demands for selfdetermination, famines, floods and ill-conceived development projects have contributed to massive internal displacement in South Asia.",Environment
"RUELLE CANE A SUCRE IN CARREFOUR,WE NEED WATER,FOOD THANKS ",Water
There is a garbage pile up at the neigbouring site which is leading to health concerns. Please act on it,Sanitation
rat infestation in building,Animal Control
cattle blocking the road,Animal Control
"My neighbor Saaqib and Mustafa are constructing a buidling violating BBMP norms. We have raised numerous complaints to the BBMP and even local police station but no action has been taken.
It is approximately 1100 sq ft land and they are building a 4+ storey building without any setback.
We are concerned if the building will collpase on our house as it has happened a few years back on Hutchins road which is few crosses away from our house.
They have also not provided any covering and all their construction material is falling into our building.",Housing
"With spring flooding already affecting parts of Afghanistan, capacity building and adequate stockpiling of relief goods are urgent priorities if the ARCS is to respond effectively to the multiple needs in this disaster prone country.",Environment
Cauvery water yet to come,Water
"After soaking rains during the first ten days of July, additional heavy rains are expected across central portions of the troubled Darfur region in Sudan and the adjacent Chadian prefectures of Ouaddai and Biltine.",Environment
Will everybody find shelter ? Answer ,Housing
"The worst natural disaster in Myanmar in decades, the 10-hour storm packed winds up to 130 miles per hour.",Environment
rat infestation in building,Animal Control
"Only light showers and scattered thunderstorms are expected in most of Mozambique through Friday, but heavier rainfall is expected in northern Mozambique, Zambia, Zimbabwe and Malawi over the weekend, he said.",Environment
At what age someone can take the vaccination ,Health
principal misbehaving with students,Education
No street light,Electricity
"And what we've been doing with that money has basically been providing assistance to the flood-affected populations, which include food, nutrition programs, potable water and sanitation facilities, blankets, plastic sheeting to construct temporary shelters, as well as other relief commodities, logistical support, and other information services.",Water
Everyone be safe and off the streets. It's a great time for quality time with the fam. #HurricaneSandy,Safety
"Some farmers were completely cut off and flooding swept away underground optical fibers, destroying telecommunications"".",Electricity
"Need food, water and medicine",Water
"Now, with the worldwide H1N1 influenza epidemic threatening Angola, handwashing with soap is even more important than ever, she said.",Health
"Analyzing current trends and scenarios based on projected temperature increases, the study warns that four countries in South Asia - Afghanistan, Bangladesh, India and Nepal - are particularly vulnerable to falling crop yields caused by glacier retreat, floods, droughts, erratic rainfall and other climate change impacts.",Safety
Complaint posted by champa,Roads
"Roadside became a garbage dumping placed in Kasturinagar, a BDA Layout . Address of the street visible in photo",Sanitation
Unable to walk also...  Roads are too bad,Roads
"The land next to Isha Casablanca  diagonally opp to Sriven Apt, has been illegaly rented out by the land owner to slum dwellers. Their children use the empty land for openly urinating  defication. This causes a foul smell  mosquitoes. It is very unhygienic  unhealthy. It’s impossible to open the window. To top it all, the ladies of the slum keep fighting the entire time  create so much ruckus. The landowner said that he has let these people stay in exchange for money  votes for Congress in the upcoming elections. He was also told to build toilets for them instead, but he refused. He is another goon in the area. There are so many children who might get infected due to the illness spread because of the public defecation. Kindly do something in this regard as no one is helping us residents. No one can talk to them also cos when we complained to one of them about openly defecating  excessive noise due to their fights, they started threatening us instead  said they have support of LandOwner Babu who will not spare us cos he has connections with big Congress politicians. We middle class people are suffering in between. Kindly help us own",Sanitation
wild animal spotted in colony,Animal Control
"Food and water are needed in 2eme Section Labich, Cote De Fer. ..",Water
"Elsewhere, isolated storms brought rainfall totals that were greater than 50 mm along the Ethiopia-Sudan border.",Transport
"I have baby/toddler sweaters and sweatshirts , a couple heavy winter jackets ( one with a foot attachment ) , blankets , and a thick fleece snow suit . I also have a scarf , gloves , and a couple of sweaters for an adult . It 's not a lot , but I don't need it out here in California . Can I mail it out to you ? I can also order diapers and wipes , batteries , etc . online if there 's a place I can send them to . Thanks .",Housing
"Manjunatha layout 14th main road, 2nd cross, there is no road for many years, we can see that the 1st and 3rd cross are having proper concrete/bituminous roads.

There are more than 15-20 houses on this road, So we need proper road ASAP",Roads
"I know they're not Sean John sweatpants, but it's a hurricane. @City One Chinese Restaurant http://t.co/AVjosTit",Environment
"A fishing trawler sank in the Bay of Bengal, having evacuated its crew before the storm, port officials said.",Safety
Unsafe Road for Pedestrians- Sarjapur Main road near Motherhood Hospital. School Going Kids are afraid of the traffic as there is no zebra crossing and with blockages between roads is a nightmare. Road is dug up on both sides.,Roads
"Fruit vendor are littering garbage, and they are not from the local are seen selling fruit nearby I prefer to duties officials to background check them and they are not wearing mask and they are spreading covid19 in Girinagar ward",Housing
"Cyclones Fabiola and Gretel which occurred in January 1997, despite causing considerable damage, created the right conditions for a good crop season.",Transport
Our area mla sri akhanda srinivas murthy only he comes when election time almost. 3.5 year  electric pluged and till now they have not given electricity in the poll even i have requested more,Electricity
"Due to Election code of conduct my application for new street light installation was on HOLD, but still the new Light Installation is not happened.
we request to Respected Engineer to please look in to this and please do the needfull at earliest.
Address : Door no 129, 1st A main road, vidhansoudha Layout.

for any clarification please reach me at 9986649666",Electricity
Who is next to us that could receive a PREGNANT WOMAN needing medical help? ,Health
"This car has been parked for more than a week and the owner is careless and has not remove. Request you to remove this at the earliest.
8th Cross, J P Nagar, 2nd Phase, Bangalore 560078",Roads
2 street lights not working,Electricity
"After the land has been cleared, World Vision will begin constructing temporary shelters for displaced families.",Housing
Trampoline in footpath in 7th main Mico Layout,Roads
"Hi, we live in Carrefour Feuilles. We need aid, tent, food ",Health
"Garbage is getting dumped on the storm drain bridge. This is next to residences & offices. It is impossible to even open the window or walk towards main road. Dead animals are also being dumped.
We have given several complains but no one from the BBMP ward have come to check.",Sanitation
"The Side road has been cut off since 2 months for constructing road drains. We have been co operating with construction people and managing to somehow cross the drains without support. Now that the drains are constructed and slabs placed on them. There is no supporting slope for any vehicle to come. As there is no water supply provided by BBMP. We rely on water tanker. Last we got water tanker was 2 months ago. We managed with same water for this long to co operate with drain construction. But now with drains complete, we are struggling without water. Kindly please urgently help on this.",Roads
Emergency water supplies to address the acute scarcity of water in the Gode Zone.,Water
Ration card correction pending,Municipal
No parking on the street,Roads
"As per my knowledge the water supply to this area is alternative days and it is supplied from morning to evening. 
In this particular street, the supply is very irregular. Sometimes no water for 2 3 days. Even on the days the water is supplied, the water is there only for few hours. 
This results in most of the household ordering local tankers to supply water. 

Please help us with this. With summer approaching. I guess this could become even worse.",Water
There is no cauvery water from past ten days. How we wi survive without wayer in tank in this critical situation of corona virus even we do not have water to wash our hands.,Water
"352 7th main 6th cross 
Rpc layout Bangalore 560104
independent hpuse first floor blocked with full.books by an elderly person ease fire hazard which can be spread to neighbouring houses 
family members have been telling not to do so but elderly person Samuel c Bella not budgeing 
below picture is just one room 
like those almost 10 rooms are filled with books",Safety
Head of the regental health agency Widayanto said his office had deployed two water purifiers to turn the contaminated water into water safe for consumption.,Water
This is a daily issue. These bikes and sometimes cars block the road for any traffic. The root cause is the fruit and chai shop which operates as a full-fledged restaurant serving people in cars and bikes.,Roads
"On National Highway 1A running through the districts of Quang Ninh and Le Thuy, flooding caused severe congestion, stranding hundreds of trucks and passenger cars.",Safety
"Where I am I can't leave, there's no internet all houses are destroyed, we cant save any paper because the house is flat, we're suffering where we are in Aprimature ",Housing
Passengers have been stranded while perishable goods have gone to waste.,Transport
"We are facing so many issues from couple of days here in our area in Mantri webcity hennur road. There is continous fluctuation in the electricity,  this is lead to spoiling of electronic devices",Electricity
stray dog attacked my child,Animal Control
I regreat the people who living at taba street sol solon don't have shelter. ,Transport
"Dengue is characterized by a sudden onset of headaches, severe muscle and joint pains and often also a rash.",Health
Our layout is having development works are going on our lane which is 2 main 5 cross 1 B they have digged for rain water drain but they suddenly stop if they got any government order please give us in writing or please complete it we have many senior citizen and kids which cause lot of risk for them .,Roads
Underground sewerage drain is blocked and drain water is flowing into our house. It needs to be cleaned urgently.,Health
"Isolation, lack of radio or telephone communication, and a fuel crisis are hampering efforts to get to these vulnerable communities, most of which are only accessible by boat as there are less than 10km of roads in the Mentawai.",Transport
No update on application status,Municipal
Road in and around narayanapura Cross Road is really bad. Please repair it. Have started to get back pain due to bad roads,Roads
"Very bad condition of road, people will die! Fix it",Roads
"CRS continues to assess the immediate needs of those fleeing the fiery volcanic lava flows, to position relief supplies, and to work with local church partners and other relief organizations in an effort to respond to the emergency.",Transport
Please take action,Sanitation
No response from government office for two weeks,Municipal
birth certificate not issued,Municipal
No footpath - all acquired by shops,Sanitation
"As such, the flood situation in the district of Chapai-Nawabganj will worsen and the low-lying areas in the districts of Rajshahi, Pabna, Rajbari, Manikganj, Munshiganj, Madaripur and Magura are likely to inundate further.",Environment
Illegal Construction on the Footpath near RTO office.,Housing
"Zhang Zuoji, governor of Heilongjiang, has instructed all primary and middle schools in the province to open curricula on emergency evacuation, teaching students the way of preventing and escaping from dangerous situations.",Health
"Today, March 10, 2010, donations were received from Standard Chartered Bank: sh50m, NSSF: sh10m, Unilever: sh5m cash and sh5m in kind (anti-bacterial soap and blue band), Hotloaf: 500 loaves of bread, Uganda Olympic Committee: sh500, 000, Gulu University: sh1m, Bank of Uganda: sh20m.",Health
Application still pending,Municipal
"My name is Bhagya Lakshmi residing at No. 29, 17th Cross, Kanakanagar, R.T.Nagar Post, Bangalore.  There is a sewage leak/block nearby my house where there is a sewage chamber leakage and smelling very badly since last ten days.    

There are lot of mosquitoes and insects breed in that place that may lead to water borne diseases due to overflow.  

I would be obliged if you could kindly take immediate action in this regard.

I tried to send online complaint through BWSSB site where it shows error, hence this email.

Thanks & Regards,

Bhagya Lakshmi
M: 9845319115",Health
"nice to see ppl cares about this mess, thx @quakechile. some scoops, looters are hitting concepcion and southern regions, deathtoll is +700",Safety
"[corrected version] The onset of seasonal rains is posing logistical challenges, as well as hampering the access of beneficiaries to distribution points.",Transport
He said that Wapda has also been directed to immediately restore electricity supply in the affected areas.,Electricity
principal misbehaving with students,Education
encroachment on my land,Housing
"Before the cyclone, he and his family lived in a simple thatched bamboo house near the paddy field of their employer.",Housing
The Street light near my house has not been working for years now.. please check and have replaced...,Electricity
rat infestation in building,Animal Control
Swedish Red Cross facilitators are also providing assistance to affected families in Sweden.,Health
"Hi team,

In Sarathy nagar, there are empty plots where there is no construction yet. In these plots there are lot of small plants and bushes have grown. We can see there are lot of snakes in these bushes. Residents are very much afraid of these bushes and we struggle to come out of the house during night because of bushes. There are lot of people hide in the bushes as well and they pee and shit there. This is directly impacting the health of the residents. This requires proper cleaning. if we ask the people why are you sitting here, they behave inhumanly and they will come to shout on us. Please take this as a priority and take the necessary action. Below are the photos.",Housing
Please pass through the zone Destra because we are isolated. ,Transport
Please address water logging in front of Esteem enclave,Roads
Available infectious disease experts and disaster relief specialists from countries with these capacities must deploy teams to the affected countries.,Health
There are no dustbins where people can dump there garbage on daily basis. Please arrange a dustbin in this area.,Sanitation
no blackboard in classroom,Education
"With relief flights suspended for the third straight day due to heavy snow and icy conditions, it is even more critical to reach earthquake survivors.",Transport
"In 2nd main 11th cross, Vinayak Nagar, annasandrapalya. drainage work not done  properly, it's open on main Street where kids playing pls take action immediately",Health
students dropout increasing,Education
"From past three days the Garbage is not cleaned. The garbage auto comes, but even after requesting they are not cleaning the garbage. It has started stinking.
Address : #36, 1 A Main, 1 A Cross, Vivekanandanagar, Bangalore - 85",Sanitation
UK teams made 14 of the 24 live rescues made by international teams.,Safety
We have a factory that is on FIRE on road to the airport near Sogebank. It's starting to burn several nearby houses with documents left in them. Please come and help us!!!,Transport
rat infestation in building,Animal Control
The waves damaged coastal vegetation and covered productive agricultural land with sand and salt water.,Environment
Hurricane Sandy May Cause Evacuations In Stamford: Stamford residents living near Long Isla.. http://t.co/Sh19lAV7 #stamford #ct #topixI hope the hurricane tears down my school into a million pieces !!! Hehe _ i love schoolI better make it home before sandy gets here!,Water
"A disaster management department official in Bihar state said reports of diarrhea, viral fever, skin diseases, eye sores and throat infections had begun pouring in from far flung districts that were cut off for more than a month due to the raging floods.",Health
"I need a shelter, what can you do for me? ",Housing
Can guys sitting and drinking in the cab in the end of our lane almost every weekend and some week days. there are regularly people hanging out in this spot.,Safety
Road totally damaged slushy potholes,Roads
The Red Crescent runs the Cyclone Preparedness Programme (CPP) which was established following the devastating cyclone which ravaged the country in 1970.,Environment
earthquake or tsunamie information now ,Environment
exam results not declared,Education
monkey menace in colony,Animal Control
There is a vacant site in 9th cross 8th main. Most of the people throw garbage here. Lot of mosquitoes due to this. They ignite fire for this garbage and bad smell due to that.,Sanitation
Footpath driving,Roads
"The donation, by philanthropic organization the W.P.Carey Foundation, was the largest private sector donation received by India thus far.",Transport
The water supply line next to my residence at 224/1 Defence Colony 2nd Main 6th Cross Indiranagar is leaking since more than a week and water is being wasted. request action to repair same on priority.,Water
I would to know how they are going to rebuild the country. ,Transport
"Many residents of the Lower East Side are still without power and or heat ! This warming Center is in need of supplies which are listed below : Flashlights Batteries Toilet Paper , Paper towels , Napkins Hand and Body Wipes , Hand and Body Sanitizer Any basic toiletries and Hygiene Products Coats , gloves , hats , etc .",Health
wild animal spotted in colony,Animal Control
"The Organisation of the Islamic Conference on Thursday appealed to Muslims everywhere to direct their zakat tithes -- donations required under Islam -- to relief for Pakistan, rather than leave Pakistanis ""alone to their fate"".",Water
Two street lights are not working in park road,Electricity
"To date, a total of 39 people suffering from Ebola or having had a high risk exposure to the virus, have been medically evacuated to Europe.",Health
"In southwest Sichuan province, seven people, including two girls aged three and seven, were killed and 10 others injured during a lightning strike Sunday, the official Xinhua news agency reported.",Transport
"To forestall any resentment from those who've not benefited from the post-tsunami assistance, the multilateral agencies coordinated by the Bank have suggested to the Government of Sri Lanka that further development schemes be dove-tailed to the tsunami reconstruction program and targeted to these areas.",Housing
"Authorities in Japan have warned people within a 20-mile radius of the plant to evacuate or stay inside their homes, as unpredictable weather and wind conditions could risk spreading radioactive contamination.",Environment
"(a) Due to the persistence of drought and the probable food deficit in the Northwest Pastoral and Southeast Pastoral sub-zones caused by abnormal rainfall during Karan/Karma (the main rainy season this year), the Minister of Interior launched a joint UN Agencies and Djibouti Government mission, following a meeting held on 25 October.",Water
"Hi,

The road which is 27th Cross, 19th Main road, HSR Layout, Sector 2 running in front of Nagarjuna Apartment is not getting cleaned from long time. Also as a result on the side of road lot of waste is accumulated.",Sanitation
To worry about Sandy or not to worry about Sandy .. That is the question .. Not liking the idea of a blizzard and hurricane mixing .,Environment
"Please Send a personnel @Benagaluru Traffic police  or any concerned people , and get the vehicles removed parked on foot path .",Roads
principal misbehaving with students,Education
What should one do if they have a lot of bumps/pimples that are growing? ,Water
Kindly clear the drain,Health
monkey menace in colony,Animal Control
Duplicate ration card help,Municipal
Where I can find a tent for sleeping? ,Housing
"BHUBANESHWAR, India, Nov 19 (AFP) - Three weeks after a super-cyclone slammed into the Indian state of Orissa, volunteers have fanned out to dispose of hundreds of decomposing bodies and carcasses still littering the ravaged coastline, an official said Friday.",Environment
"Most cholera cases in Nairobi are in Darajani of Laini Saba, near the heavily polluted Nairobi River.",Health
"""Crops such as sweetpotato should be better recognized for their resilience to damage caused by cyclones, when immediate food is needed,"" he says.",Environment
More than 300 houses have been destroyed or have had their roofs blown off.,Housing
"This is to bring to your notice that there is a sever water supply problem in our area inspite of our repeated complaints to the BWSSB lineman, local AE, BWSSB PRO, and multiple reminders to the BWSSB no action has been initiated. I request your attention in this matter.",Water
"Street lights in Horamavu Agara Main road is not working for a 500 meter stretch from Hennur Bagalur Road junction.
concern please do the needful at the earliest.",Electricity
"No street lights, roads and drainage in my Area. Please resolve these problems",Electricity
No street lights over the underpass,Electricity
The people of La voute have lots of water problems ,Transport
WE NEED TENTS IN CENTRE D'ETUDE SECONDAIRE ,Housing
Street lights in outer ring road from Hebbala to Silkboard is not working. Request you to repair this immediately.,Electricity
The road from Nagondanahalli Bus Stop leading to the Channasandra Main Road has turned from bad to worst after the recent sewege pipeline work. People on two wheeler are falling and injuring themselves seriously. Four wheeler owners get a flat tyre every now and then.,Roads
"Hi, we are unable to dispose the garbage on daily basis as there no one to collect the garbage from past 15 days. Only twice they have collected the garbage in 15 days. Needs to get fixed garbage problem.",Sanitation
Information about the people that have the destructe's houses ,Housing
"Granite shop has put slabs on the foot path and blocking the way, near deepa complex, muddina playa road,off nagarbhavi,",Roads
"The entire 15th Cross road is broken. The stretch is full of potholes. The road has been dugged and left as it is. Most of the time Water tankers or big vehicles will get struck in the road mud and it will cause traffic congestion. During rainy days, it becomes more miserable. This Munnekolal belt, most of the IT employees reside and pays hefty tax each year. They deserve a good and well maintained road at least. Please consider this request.",Roads
"A total of 261,800 people in 12 counties or cities were affected by the blizzard hitting Xinjiang's Tacheng and Altay regions this week, which resulted in blackout and transport disruption in some areas, according to the disaster relief department of the Ministry.",Electricity
"Prior to the cyclone making landfall, the local government and many aid agencies coordinated the country's biggest evacuation in 23 years with more than 900,000 people moved from low-lying coastal areas to nearly 250 emergency shelters in schools and government offices.",Environment
"The five large quilts given to Zahid's children will help them brave the increasingly chilly mountain nights now that they are living in a tent rather than their ancestral home, which became too dangerous to inhabit after Saturday's massive tremor.",Transport
Footpath has been encroached by a Resident owner,Housing
"While some batteries remained operable, the entire site lost the ability to maintain normal reactor cooling and water circulation functions.",Electricity
"The DGCS personnel on board will be accompanying a 30-tonne load of supplies valued at approximately 200,000 consisting of medical supplies, water purifiers and containers and electrical generators.",Water
The distribution of the grants include: US $24.5 million for the resettlement of those families and communities made homeless as a result of the floods; US $120 million for rebuilding roads and bridges and rehabilitating railway systems and air transport facilities; US $63 million for the agricultural sector to provide new tools and livestock as well as for loan schemes for small-scale farmers reliant on farming.,Transport
"In 1919, about 5,000 died as Kelud ejected scalding water from its crater lake.",Transport
"I have cloths I can donate , tools food",Housing
"* the special needs of populations living in border areas, (including nomads, refugees, displaced persons, returnees and migrants), to be addressed with specific regard to the control for tuberculosis, malaria, leishmaniasis, and eradication of polio;",Health
Yellow Spot,Sanitation
In more important issues .. .. .this snow storm better not knock my power out again,Electricity
"Even though the two deadly Ebola outbreaks have separate animal origins, the report in the New England Journal of Medicine nevertheless raises concern about the emergence of the often fatal hemorrhagic fever across the African continent.",Health
"Garbage getting accumulated near muninanjappa layout,  Ramamurthynagar",Sanitation
"We have a lot of problem at Delma 75 Avenue Albert Jode, those people need water and food.",Water
"When a cyclone hits people are forced to move out to community shelters or to relatives' homes, bringing with them only vital items such as blankets and food.",Environment
Rejection reason unknown,Municipal
There is a garbage spot in Maharaja Signal opposite to economic homeo shop. Request you to please get this cleared,Sanitation
Tha a great time to meet up to you,Electricity
"There are quite a lot of old, unused telephone line poles with lot of cables hanging on them. This is hazardous for those driving on the road and also are hindrances for road traffic. location - bank Avenue colony 7th Street babusapalya. Requesting you to kindly remove these unused poles.",Electricity
Hi this is to being to your notice that 8th cross 2nd block no proper street light and its dark and few light are not installed only polls are there kindly install proper lights ladies cant walk in dark kindly take action,Electricity
Knee deep water mixed with sewage in Ashwini Layout area,Roads
"More than 300 people died in a series of avalanches and blinding blizzards since the weekend in the northern Indian state of Jammu and Kashmir, which experienced its heaviest snowfall in 15 years.",Transport
"But he said there was no immediate solution in sight to the problem, which has seen local residents in search of fertile land for subsistence farming repeatedly move back to flood-prone areas.",Environment
"ourAnonNews Yup, no power here! #SandyNJAnd now the power is gone #sandyproblems#Sandy getting more vicious by the minute.. There's a massive tree branch barely hanging on outside our window. Please lean to the left!!!!",Electricity
People are coming and dumping garbage and debris. There also lots of pigs and stray dogs.,Sanitation
Btoken stretch,Sanitation
"The appeal concentrates on priorities for international assistance in emergency management, rural water supply, food relief, health and nutrition, and agriculture.",Water
"The downpour dealt a serious blow to those engaged in the tourism industry in the province, the most beloved summer vacation destination, as the tourism infrastructure there, such as roads, accommodations and entertainment facilities, were all ruined.",Transport
"390,000 additional people would get access to improved water sources through household connections and stand posts and 220,000 people already connected to the existing water networks but facing low water pressure and intermittent service would benefit from an enhanced (24/7) water service"", explained Matar Fall, Lead Water and Sanitation Specialist and World Bank Task Team Leader for the project.As part of the latter effort, the WHO China Office has requested WHO/HQ to disseminate information provided by the Chinese MoH and the following statement through the WHO website and to contact permanent missions to seek potential international support:",Water
monkey menace in colony,Animal Control
Road maintenance stopped,Roads
Business setup on footpath,Housing
Pension application delayed,Municipal
"Chen suggested local administrations assess potential dangers at these facilities by analyzing satellite and other aerial images and evacuate downstream residents, if necessary.",Housing
Garbage to be cleaned,Sanitation
Wires near the mid road,Electricity
"Garbage is dumped opposite to my house, people are throwing in the night time and early Mrng. Sweeping lady is coming weekly once but not cleaning properly.
There is a Mori opened they are throwing in that.
Please close that Mori.",Sanitation
The weather service forecast the storm would make landfall near Xiamen City in the province before midnight.,Environment
http://twitvid.com/555BA - Leaving Santiago to head to south of Chile with help!,Safety
"For the majority of the population, the impact of the disaster will be limited to a period of nervousness about every tremor or perceived tremor felt and the need to repair relatively superficial damage to homes and buildings.",Transport
"Respected Sir/Madam,

I am Navneeth, residence in Byatarayanapura for 28 years. On behalf of my neighbors and public, this is to inform you that we are experiencing the congestion of the road due to illegal occupancy of a public road by one of the neighbors. They have blocked the road by placing flower pots, big stones, water tank, two small trees, and a car and recently constructed one sanitary pit. This is a direct offense and all the time when somebody asked to remove these, either they start vulgar words or also they hit the person with who question them. This has been a massive impact on residence people to shift their things, to take their vehicles out(car, auto). I request the authorities to check for the situation and take respective actions towards it. Please find the attached pictures for reference of how they have occupied the place.",Roads
"Thousands of soldiers, paramilitary border police and civil defence volunteers stood by dykes and other flood control structures with sandbags and heavy boulders to stop rivers from eroding banks.",Environment
There is a lot of garbage being dumped in the vacant land near the school. It is lying all over the place in many spots.,Sanitation
Enjoying life in the dark .. . ( @Hurricane Sandy 's Power Outage ) http : //t.co/ZdCwWy8Q,Environment
Please repair the existing street lights total 5 street lights are not working from 3 days so please take the complaint and clear this issue as soon as possible.,Electricity
stray animals creating nuisance,Animal Control
"On Thursday, February 16, 2012 at 0000 UTC (Feb. 7 p.m. EST) Giovanna's maximum sustained winds had increased to 50 knots.",Environment
"Our pediatric ward has been operating at 150 percent capacity since it opened, with half the cases presenting with measles, arriving in a very poor state of health.",Health
"Ng'oma said her department was also looking for ""big tents to keep pupils in schools"" after scores of classroom blocks collapsed and others developed cracks.",Housing
"From January 9th to January 12th, Doctors worldwide Turkey sent a team of four specialized paediatric surgeons and urologists in order to implement a paediatric surgical camp within Sayyidah Fatimah hospital.",Health
"Good Morning,
The First flyover from gorguntapalya to Hebbal above the railway track is damaged. if it gets the road will get damaged further and cause issue.
Please make sure to repair it as soon as possible.",Roads
stray dog biting people,Animal Control
books not distributed,Education
Cars and bikes going up the wrong way,Roads
No street lights on this busy Magadi road underpass.,Electricity
"Prior to this disaster, we experienced devastating veld fires because we went almost immediately from winter to summer, with virtually no spring. Most of the displaced are living in temporary camps under tarpaulins, which are not appropriate for families, especially children, who will have to face chilly weather conditions very soon. At least 3,500 dead after 6.3-magnitude quake strikes Java's central region. The powerful cyclone smashed into the low-lying Irrawaddy delta, unleashing a storm surge as high as 12 feet, according to Reuters. On the night of 15 to 16 July, a hail storm with strong winds in Labé, middle Guinea, damaged homes and affected 869 households, and destroyed 322 hectares of crops, according to UN and government humanitarian officials just back from an evaluation of the area. Ministry officials said they had been trying to deploy health workers to badly affected areas using two military helicopters, but the aircraft were only of limited use due to the continuing appalling weather conditions, a spokesman said. SHANGHAI, June 15, 2009 (AFP) - At least 14 people were killed and more than 180 others were injured in a severe hail storm that destroyed thousands of homes across eastern China's Anhui province, authorities said Monday. By August 29, kharif crops were sown in 966.25 lakh hectares. Floods triggered by monsoon rains are affecting some 5.4 million people and displaced 1.8 million, according to the agency. SATKORLAK PB East Nusa Tenggara reported that flash floods occurred in Reok Sub-district and landslides hit seven sub-districts, namely Cibal, Wae Ri'I, Lamba Leda, Poco Ranaka, Ruteng, Langke Rembong, and Kota Komba. But the roads that remain along the coast are now in deeper water, the mud remains, the potential for disease increases, and the cold dampness causes people on the margins to be even more vulnerable. A massive earthquake measuring 7.8 on the Richter scale shook Nepal on late Saturday killing and injuring many people. To meet these needs, NRC organised two trainings for 78 male and female primary school teachers in Bajaur and Mohmand Agencies with the objective to enhance the capacity in current teaching-learning approaches, including lesson planning, class room management, dropout prevention, community mobilization and child psychology. In neighbouring Algeria to the east, a massive quake struck the densely populated coastal region with its epicentre near the capital Algiers in May 2003, killing more than 2,300 people and injuring about 10,000. To date, total private contributions from the U.S. to earthquake relief and reconstruction are estimated at $130 million. In the middle and southern part of Zhejiang province, due to the continuous rainfall, the water levels in Qiantang river, Ou river and Feiyun river exceeded the warning line as well as the danger line. (A true drought is usually the result of more than two successive rain failures.). The process of payment of compensation to the affectees has been expedited in order to enable affectees to start construction of their houses in wake of severe cold weather in the Area. The past week brought slight relief in many areas of northern and southern Somalia, with 7-day total rainfall accumulations exceeding 10mm in some locations. BEIJING, Aug 16 (AFP) - Some 200 people are dead or missing following three days of flash flooding that hit central China's Hunan province, officials said Monday. Governments, civil society and humanitarian agencies needed to prepare strategies to cope with the impact of, among others, an increased number of hydro-meteorological disasters, such as hurricanes, cyclones floods and mudslides. These children lived in areas where the quake damaged or destroyed at least 60% of structures. We have also been able to deliver large amounts of shelter, food and hygiene materials to the affected people to help them get through the next few weeks as the rain buckets down.",Water
Much of LWR's tsunami recovery work in Sri Lanka has been made possible by a generous gift from the Evangelical Lutheran Church in America.,Transport
"Road Maintenance Problem since 2-3 Months, Daily people are falling on this worst Road. Before 2 months there was Pipeline installed from BWSSB after that they never tarred the road. Its so horrible to commute to people around this area. Also this road connects to Katriguppe Main Road. No Action has been take even after several complaints from Public. Its soo much frustration to citizens to travel daily & worse when it rains.",Roads
Mobilized 50 volunteers in URCS Luwero Branch the epi centre and 10 volunteers each from the other affected branches to be trained in social mobilization and active case rearch in the community.,Safety
My application is still pending,Municipal
"UNHCR in Medan is in the process of undertaking a needs assessment before supplying additional tents, as well as other NFIs such as stoves, plastic sheets, kitchen sets, hurricane lanterns and blankets.",Housing
school closed for no reason,Education
"*Road Broken*
The road starting from nehru circle going towards Anand Rao Circle is completely broken, which makes it unfit to travel for daily commuters",Roads
college fees not refunded,Education
stray dog attacked my child,Animal Control
not another earthquake = i hope the people in haiti are okay,Transport
